название;дата;время_начала;длительность(в минутах);город
Творческий бум;12.06.2024;19:00;120;Москва
Экологический марафон;23.07.2024;17:00;180;Сиэтл
Книжный карнавал;03.08.2024;17:00;60;Краснодар
Космический квест;09.09.2024;19:30;150;Челябинск
Музыкальный фестиваль;14.10.2024;17:00;360;Иркутск
Фотовыставка шедевров природы;29.11.2024;06:00;120;Иркутск
Театральный марафон;13.12.2024;02:00;240;Буэнос-Айрес
Фестиваль уличного искусства;27.12.2024;22:00;300;Краснодар
Киноночь на крыше;10.01.2024;23:00;200;Москва
Велозабег на короткую дистанцию;01.02.2024;23:00;30;Челябинск